번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법,party_index
1,20,강길부,무소속,,울산 울주군,남,4선,지역구,0
2,20,강병원,더불어민주당,,서울 은평구을,남,재선,지역구,1
3,20,강석진,새누리당,,경남 산청군함양군거창군합천군,남,초선,지역구,2
4,20,강석호,새누리당,,경북 영양군영덕군봉화군울진군,남,3선,지역구,2
5,20,강창일,더불어민주당,,제주 제주시갑,남,4선,지역구,1
6,20,강효상,새누리당,,비례대표,남,초선,비례대표,2
7,20,강훈식,더불어민주당,,충남 아산시을,남,재선,지역구,1
8,20,경대수,새누리당,,충북 증평군진천군음성군,남,재선,지역구,2
9,20,고용진,더불어민주당,,서울 노원구갑,남,재선,지역구,1
10,20,곽대훈,새누리당,,대구 달서구갑,남,초선,지역구,2
11,20,곽상도,새누리당,,대구 중구남구,남,재선,지역구,2
12,20,권미혁,더불어민주당,,비례대표,여,초선,지역구,1
13,20,권석창,새누리당,,충북 제천시단양군,남,초선,지역구,2
14,20,권성동,새누리당,,강원 강릉시,남,4선,지역구,2
15,20,권은희,국민의당,,광주 광산구을,여,3선,지역구,3
16,20,권칠승,더불어민주당,,경기 화성시병,남,재선,지역구,1
17,20,금태섭,더불어민주당,,서울 강서구갑,남,초선,지역구,1
18,20,기동민,더불어민주당,,서울 성북구을,남,재선,지역구,1
19,20,김경수,더불어민주당,,경남 김해시을,남,초선,지역구,1
20,20,김경진,국민의당,,광주 북구갑,남,초선,지역구,3
21,20,김경협,더불어민주당,,경기 부천시원미구갑,남,3선,지역구,1
22,20,김관영,국민의당,,전북 군산시,남,재선,지역구,3
23,20,김광림,새누리당,,경북 안동시,남,3선,지역구,2
24,20,김광수,국민의당,,전북 전주시갑,남,초선,지역구,3
25,20,김규환,새누리당,,비례대표,남,초선,비례대표,2
26,20,김기선,새누리당,,강원 원주시갑,남,재선,지역구,2
27,20,김도읍,새누리당,,부산 북구강서구을,남,3선,지역구,2
28,20,김동철,국민의당,,광주 광산구갑,남,4선,지역구,3
29,20,김두관,더불어민주당,,경기 김포시갑,남,재선,지역구,1
30,20,김명연,새누리당,,경기 안산시단원구갑,남,재선,지역구,2
31,20,김무성,새누리당,,부산 중구영도구,남,6선,지역구,2
32,20,김민기,더불어민주당,,경기 용인시을,남,3선,지역구,1
33,20,김병관,더불어민주당,,경기 성남시분당구갑,남,초선,지역구,1
34,20,김병기,더불어민주당,,서울 동작구갑,남,재선,지역구,1
35,20,김병욱,더불어민주당,,경기 성남시분당구을,남,재선,지역구,1
36,20,김부겸,더불어민주당,,대구 수성구갑,남,4선,지역구,1
37,20,김삼화,국민의당,,비례대표,여,초선,비례대표,3
38,20,김상훈,새누리당,,대구 서구,남,3선,지역구,2
39,20,김상희,더불어민주당,,경기 부천시소사구,여,4선,지역구,1
40,20,김석기,새누리당,,경북 경주시,남,재선,지역구,2
41,20,김선동,새누리당,,서울 도봉구을,남,재선,지역구,2
42,20,김성수,더불어민주당,,비례대표,남,초선,비례대표,1
43,20,김성식,국민의당,,서울 관악구갑,남,재선,지역구,3
44,20,김성원,새누리당,,경기 동두천시연천군,남,재선,지역구,2
45,20,김성찬,새누리당,,경남 창원시진해구,남,재선,지역구,2
46,20,김성태,새누리당,,비례대표,남,초선,비례대표,2
47,20,김성태,새누리당,,서울 강서구을,남,3선,지역구,2
48,20,김성환,더불어민주당,,서울 노원구병,남,재선,지역구,1
49,20,김세연,새누리당,,부산 금정구,남,3선,지역구,2
50,20,김수민,국민의당,,비례대표,여,초선,비례대표,3
51,20,김순례,새누리당,,비례대표,여,초선,비례대표,2
52,20,김승희,새누리당,,비례대표,여,초선,비례대표,2
53,20,김영우,새누리당,,경기 포천시가평군,남,3선,지역구,2
54,20,김영주,더불어민주당,,서울 영등포구갑,여,4선,지역구,1
55,20,김영진,더불어민주당,,경기 수원시병,남,재선,지역구,1
56,20,김영춘,더불어민주당,,부산 부산진구갑,남,3선,지역구,1
57,20,김영호,더불어민주당,,서울 서대문구을,남,재선,지역구,1
58,20,김용태,새누리당,,서울 양천구을,남,3선,지역구,2
59,20,김재경,새누리당,,경남 진주시을,남,4선,지역구,2
60,20,김재원,자유한국당,,경북 상주시군위군의성군청송군,남,3선,지역구,4
61,20,김정우,더불어민주당,,경기 군포시갑,남,초선,지역구,1
62,20,김정재,새누리당,,경북 포항시북구,여,재선,지역구,2
63,20,김정호,더불어민주당,,경남 김해시을,남,재선,지역구,1
64,20,김정훈,새누리당,,부산 남구갑,남,4선,지역구,2
65,20,김종대,정의당,,비례대표,남,초선,비례대표,5
66,20,김종민,더불어민주당,,충남 논산시계룡시금산군,남,재선,지역구,1
67,20,김종석,새누리당,,비례대표,남,초선,비례대표,2
68,20,김종인,더불어민주당,,비례대표,남,5선,비례대표,1
69,20,김종태,새누리당,,경북 상주시군위군의성군청송군,남,재선,지역구,2
70,20,김종회,국민의당,,전북 김제시부안군,남,초선,지역구,3
71,20,김종훈,무소속,,울산 동구,남,초선,지역구,0
72,20,김중로,국민의당,,비례대표,남,초선,비례대표,3
73,20,김진태,새누리당,,강원 춘천시,남,재선,지역구,2
74,20,김진표,더불어민주당,,경기 수원시무,남,5선,지역구,1
75,20,김철민,더불어민주당,,경기 안산시상록구을,남,재선,지역구,1
76,20,김태년,더불어민주당,,경기 성남시수정구,남,4선,지역구,1
77,20,김태흠,새누리당,,충남 보령시서천군,남,3선,지역구,2
78,20,김학용,새누리당,,경기 안성시,남,3선,지역구,2
79,20,김한정,더불어민주당,,경기 남양주시을,남,재선,지역구,1
80,20,김한표,새누리당,,경남 거제시,남,재선,지역구,2
81,20,김해영,더불어민주당,,부산 연제구,남,초선,지역구,1
82,20,김현권,더불어민주당,,비례대표,남,초선,비례대표,1
83,20,김현미,더불어민주당,,경기 고양시정,여,3선,지역구,1
84,20,김현아,새누리당,,비례대표,여,초선,비례대표,2
85,20,나경원,새누리당,,서울 동작구을,여,4선,지역구,2
86,20,남인순,더불어민주당,,서울 송파구병,여,3선,지역구,1
87,20,노웅래,더불어민주당,,서울 마포구갑,남,4선,지역구,1
88,20,노회찬,정의당,,경남 창원시성산구,남,3선,지역구,5
89,20,도종환,더불어민주당,,충북 청주시흥덕구,남,3선,지역구,1
90,20,맹성규,더불어민주당,,인천 남동구갑,남,재선,지역구,1
91,20,문미옥,더불어민주당,,비례대표,여,초선,비례대표,1
92,20,문진국,새누리당,,비례대표,남,초선,비례대표,2
93,20,문희상,더불어민주당,,경기 의정부시갑,남,6선,지역구,1
94,20,민경욱,새누리당,,인천 연수구을,남,초선,지역구,2
95,20,민병두,더불어민주당,,서울 동대문구을,남,3선,지역구,1
96,20,민홍철,더불어민주당,,경남 김해시갑,남,3선,지역구,1
97,20,박경미,더불어민주당,,비례대표,여,초선,비례대표,1
98,20,박광온,더불어민주당,,경기 수원시정,남,3선,지역구,1
99,20,박남춘,더불어민주당,,인천 남동구갑,남,재선,지역구,1
100,20,박대출,새누리당,,경남 진주시갑,남,3선,지역구,2
101,20,박덕흠,새누리당,,충북 보은군옥천군영동군괴산군,남,3선,지역구,2
102,20,박맹우,새누리당,,울산 남구을,남,재선,지역구,2
103,20,박명재,새누리당,,경북 포항시남구울릉군,남,재선,지역구,2
104,20,박범계,더불어민주당,,대전 서구을,남,3선,지역구,1
105,20,박병석,더불어민주당,,대전 서구갑,남,6선,지역구,1
106,20,박선숙,국민의당,,비례대표,여,재선,비례대표,3
107,20,박성중,새누리당,,서울 서초구을,남,재선,지역구,2
108,20,박순자,새누리당,,경기 안산시단원구을,여,3선,지역구,2
109,20,박영선,더불어민주당,,서울 구로구을,여,4선,지역구,1
110,20,박완수,새누리당,,경남 창원시의창구,남,재선,지역구,2
111,20,박완주,더불어민주당,,충남 천안시을,남,3선,지역구,1
112,20,박용진,더불어민주당,,서울 강북구을,남,재선,지역구,1
113,20,박인숙,새누리당,,서울 송파구갑,여,재선,지역구,2
114,20,박재호,더불어민주당,,부산 남구을,남,재선,지역구,1
115,20,박정,더불어민주당,,경기 파주시을,남,재선,지역구,1
116,20,박주민,더불어민주당,,서울 은평구갑,남,재선,지역구,1
117,20,박주선,국민의당,,광주 동구남구을,남,4선,지역구,3
118,20,박주현,국민의당,,비례대표,여,초선,비례대표,3
119,20,박준영,국민의당,,전남 영암군무안군신안군,남,초선,지역구,3
120,20,박지원,국민의당,,전남 목포시,남,4선,지역구,3
121,20,박찬대,더불어민주당,,인천 연수구갑,남,재선,지역구,1
122,20,박찬우,새누리당,,충남 천안시갑,남,초선,지역구,2
123,20,박홍근,더불어민주당,,서울 중랑구을,남,3선,지역구,1
124,20,배덕광,새누리당,,부산 해운대구을,남,재선,지역구,2
125,20,백승주,새누리당,,경북 구미시갑,남,초선,지역구,2
126,20,백재현,더불어민주당,,경기 광명시갑,남,3선,지역구,1
127,20,백혜련,더불어민주당,,경기 수원시을,여,재선,지역구,1
128,20,변재일,더불어민주당,,충북 청주시청원구,남,5선,지역구,1
129,20,서삼석,더불어민주당,,전남 영암군무안군신안군,남,재선,지역구,1
130,20,서영교,더불어민주당,,서울 중랑구갑,여,3선,지역구,1
131,20,서청원,새누리당,,경기 화성시갑,남,8선,지역구,2
132,20,서형수,더불어민주당,,경남 양산시을,남,초선,지역구,1
133,20,설훈,더불어민주당,,경기 부천시원미구을,남,5선,지역구,1
134,20,성일종,새누리당,,충남 서산시태안군,남,재선,지역구,2
135,20,소병훈,더불어민주당,,경기 광주시갑,남,재선,지역구,1
136,20,손금주,국민의당,,전남 나주시화순군,남,초선,지역구,3
137,20,손혜원,더불어민주당,,서울 마포구을,여,초선,지역구,1
138,20,송갑석,더불어민주당,,광주 서구갑,남,재선,지역구,1
139,20,송기석,국민의당,,광주 서구갑,남,초선,지역구,3
140,20,송기헌,더불어민주당,,강원 원주시을,남,재선,지역구,1
141,20,송석준,새누리당,,경기 이천시,남,재선,지역구,2
142,20,송언석,자유한국당,,경북 김천시,남,재선,지역구,4
143,20,송영길,더불어민주당,,인천 계양구을,남,5선,지역구,1
144,20,송옥주,더불어민주당,,비례대표,여,재선,비례대표,1
145,20,송희경,새누리당,,비례대표,여,초선,비례대표,2
146,20,신경민,더불어민주당,,서울 영등포구을,남,재선,지역구,1
147,20,신동근,더불어민주당,,인천 서구을,남,재선,지역구,1
148,20,신보라,새누리당,,비례대표,여,초선,비례대표,2
149,20,신상진,새누리당,,경기 성남시중원구,남,4선,지역구,2
150,20,신용현,국민의당,,비례대표,여,초선,지역구,3
151,20,신창현,더불어민주당,,경기 의왕시과천시,남,초선,지역구,1
152,20,심기준,더불어민주당,,비례대표,남,초선,비례대표,1
153,20,심상정,정의당,,경기 고양시갑,여,4선,지역구,5
