BILL_ID,BILL_NO,BILL_NAME,COMMITTEE,PROPOSE_DT,PROC_RESULT,AGE,DETAIL_LINK,PROPOSER,MEMBER_LIST,RST_PROPOSER,PUBL_PROPOSER,keyword,COMMITTEE_index,BILL_index
PRC_B1A6Z0N7H2Q6C1C0D3N0Q5K6S5U4Y2,2001183,집단소송법안,법제사법위원회,2016-07-26,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B1A6Z0N7H2Q6C1C0D3N0Q5K6S5U4Y2&ageFrom=20&ageTo=20,박영선의원 등 46인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B1A6Z0N7H2Q6C1C0D3N0Q5K6S5U4Y2,박영선,"강훈식,기동민,김경수,김두관,김병욱,김상희,김성수,김영주,김영춘,김종민,김종인,김현권,노웅래,도종환,박경미,박범계,박완주,박정,박찬대,박홍근,백혜련,서영교,설훈,소병훈,송기헌,송옥주,신창현,심재권,어기구,위성곤,유동수,유은혜,윤관석,윤후덕,이용득,이원욱,이재정,이찬열,이춘석,이훈,전해철,제윤경,조승래,최운열,최인호",집단소송,0,0
PRC_A1B9W1O1O0B8Z1N8C4Z1M4D0E5S3J4,2023701,수산업법 일부개정법률안,농림축산식품해양수산위원회,2019-11-08,대안반영폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A1B9W1O1O0B8Z1N8C4Z1M4D0E5S3J4&ageFrom=20&ageTo=20,박주현의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A1B9W1O1O0B8Z1N8C4Z1M4D0E5S3J4,박주현,"강석진,경대수,김성찬,손금주,손혜원,오영훈,윤준호,이양수,황주홍",수산업,1,1
PRC_G1C6M0U8R1O1O0A9C4G1S1I3M7J8J4,2001532,자동차관리법 일부개정법률안,국토교통위원회,2016-08-11,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G1C6M0U8R1O1O0A9C4G1S1I3M7J8J4&ageFrom=20&ageTo=20,임종성의원 등 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G1C6M0U8R1O1O0A9C4G1S1I3M7J8J4,임종성,"강병원,김경협,김병욱,김철민,민홍철,소병훈,안호영,윤후덕,전현희,최경환",자동차관리법,2,2
PRC_E1H6R1P1W2U9L1N6D5U7M4W8D6K0G1,2003948,집합건물의 소유 및 관리에 관한 법률 일부개정법률안,법제사법위원회,2016-11-29,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E1H6R1P1W2U9L1N6D5U7M4W8D6K0G1&ageFrom=20&ageTo=20,전현희의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E1H6R1P1W2U9L1N6D5U7M4W8D6K0G1,전현희,"기동민,김영춘,노웅래,박선숙,손혜원,윤호중,윤후덕,임종성,정성호","집합,건물,소유",0,3
PRC_P1B7H0I8V3O0D1H4O2O9F2A1I4T6U3,2008863,장기공공임대주택 입주자 삶의 질 향상 지원법 일부개정법률안,국토교통위원회,2017-08-30,수정가결,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P1B7H0I8V3O0D1H4O2O9F2A1I4T6U3&ageFrom=20&ageTo=20,전현희의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P1B7H0I8V3O0D1H4O2O9F2A1I4T6U3,전현희,"김정우,신창현,안규백,안호영,윤관석,이원욱,임종성,주승용,한정애","장기,임대주택,주자,향상",2,4
PRC_I1T9K0O5Q3N1H1X1L0H2S5J4D2U4J9,2020734,식품위생법 일부개정법률안,보건복지위원회,2019-05-31,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I1T9K0O5Q3N1H1X1L0H2S5J4D2U4J9&ageFrom=20&ageTo=20,최도자의원 등 14인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I1T9K0O5Q3N1H1X1L0H2S5J4D2U4J9,최도자,"김삼화,김종회,박선숙,손금주,윤소하,윤영일,이동섭,이찬열,정동영,정세균,주승용,하태경,황주홍",식품위생법,3,5
PRC_G1G9R0B7S1C6A1F3L5A5Q1H1Q3C1A2,2021486,정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,보건복지위원회,2019-07-16,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G1G9R0B7S1C6A1F3L5A5Q1H1Q3C1A2&ageFrom=20&ageTo=20,송기헌의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G1G9R0B7S1C6A1F3L5A5Q1H1Q3C1A2,송기헌,"김종민,김철민,백혜련,송갑석,심기준,유동수,인재근,조승래,조정식","정신건강,증진,정신질환,복지,서비스",3,6
PRC_Q1C6K1O2H0W5I1H8Z2Y5D0C7Y4G0A9,2004121,문화재보호법 일부개정법률안,교육문화체육관광위원회,2016-12-05,철회,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q1C6K1O2H0W5I1H8Z2Y5D0C7Y4G0A9&ageFrom=20&ageTo=20,노웅래의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q1C6K1O2H0W5I1H8Z2Y5D0C7Y4G0A9,노웅래,"김영춘,김정우,박선숙,송기헌,이용호,장병완,장정숙,주승용,최명길",문화재,4,7
PRC_M1T8I1G2L1Y4J1R4U5F9J4P1H7V4K1,2017563,지방자치법 일부개정법률안,행정안전위원회,2018-12-14,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M1T8I1G2L1Y4J1R4U5F9J4P1H7V4K1&ageFrom=20&ageTo=20,김종회의원 등 10인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M1T8I1G2L1Y4J1R4U5F9J4P1H7V4K1,김종회,"강훈식,김경진,김수민,유성엽,윤준호,이찬열,장병완,장정숙,황주홍",지방자치법,5,8
PRC_M1J7H1J2K1H1C1T1F2J4Q3L3R5V6S2,2010752,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,환경노동위원회,2017-12-11,임기만료폐기,20,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M1J7H1J2K1H1C1T1F2J4Q3L3R5V6S2&ageFrom=20&ageTo=20,신동근의원 등 16인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M1J7H1J2K1H1C1T1F2J4Q3L3R5V6S2,신동근,"김민기,김영호,김정우,김종회,김철민,문진국,박정,송옥주,신창현,안규백,오영훈,원혜영,유동수,전해철,정동영","남녀,고용,평등,가정,양립",6,9
