id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,51,48.23,27.83,18.79,62.94,12.75,15.69,90.2,56.86,15.69,5.88,1.96,0.0,0.0,0.0,3.92,9.8,5.88,15.69,9.8,9.8,5.88,1.96,13.73,9.8,7.84,1.96,1.96,5.88,5.88,3.92,1.96,0.0,0.0,1.96,3.92,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,3.92,1.96,5.88,1.96,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,1.96,1.96,0.0,0.0,1.96,13.73,1.96,7.84,0.0,5.88,1.96,3.92,1.96,0.0,5.88,0.0,0.0,1.96,0.0,0.0,0.0,1.96,0.0,13.73,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0
2,106,58.54,19.8,20.42,89.18,53.0,15.09,88.68,57.55,14.15,6.6,5.66,0.0,0.94,0.0,0.0,7.55,9.43,14.15,10.38,5.66,9.43,1.89,16.04,9.43,7.55,0.0,1.89,1.89,3.77,3.77,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,12.26,0.94,2.83,2.83,1.89,0.94,2.83,3.77,0.0,0.0,0.0,1.89,0.94,0.0,0.0,0.94,5.66,0.0,2.83,0.94,2.83,0.94,9.43,5.66,2.83,9.43,3.77,0.94,4.72,2.83,0.94,0.0,4.72,0.0,0.0,0.94,0.0,0.0,0.0,0.94,0.0,14.15,2.83,5.66,1.89,0.0,0.0,1.89,0.0,0.0,0.94,0.0,0.94
3,77,97.46,60.26,2.4,49.97,19.25,18.18,71.43,48.05,9.09,3.9,0.0,1.3,2.6,0.0,0.0,5.19,12.99,14.29,2.6,1.3,5.19,2.6,10.39,1.3,0.0,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,7.79,0.0,2.6,2.6,1.3,0.0,2.6,5.19,1.3,3.9,0.0,2.6,2.6,0.0,0.0,0.0,5.19,1.3,0.0,2.6,0.0,1.3,0.0,7.79,0.0,9.09,3.9,5.19,1.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49,5.19,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,35,86.18,38.74,5.55,25.77,17.5,28.57,77.14,45.71,8.57,2.86,2.86,0.0,0.0,0.0,0.0,5.71,8.57,11.43,5.71,5.71,5.71,0.0,5.71,2.86,0.0,0.0,0.0,0.0,5.71,2.86,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,2.86,0.0,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,2.86,0.0,0.0,11.43,0.0,5.71,0.0,8.57,0.0,8.57,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,28,14.58,85.81,1.0,87.2,9.33,14.29,75.0,50.0,21.43,7.14,0.0,0.0,7.14,0.0,0.0,14.29,7.14,3.57,10.71,3.57,10.71,0.0,21.43,3.57,3.57,3.57,0.0,0.0,3.57,3.57,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,3.57,0.0,0.0,3.57,3.57,0.0,3.57,7.14,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,7.14,0.0,0.0,17.86,3.57,3.57,0.0,0.0,3.57,7.14,7.14,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0
6,42,14.58,17.04,52.86,99.0,7.0,11.9,88.1,45.24,16.67,11.9,9.52,0.0,0.0,0.0,2.38,4.76,2.38,4.76,4.76,9.52,9.52,2.38,16.67,9.52,2.38,2.38,2.38,4.76,11.9,9.52,2.38,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,11.9,2.38,2.38,2.38,2.38,0.0,2.38,4.76,0.0,2.38,2.38,2.38,0.0,0.0,0.0,0.0,16.67,2.38,2.38,2.38,7.14,2.38,7.14,4.76,0.0,9.52,0.0,2.38,7.14,9.52,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,11.9,2.38,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0
7,35,75.19,28.39,89.63,25.77,11.67,14.29,88.57,48.57,8.57,5.71,2.86,0.0,0.0,0.0,2.86,2.86,5.71,14.29,11.43,2.86,5.71,2.86,17.14,5.71,0.0,2.86,0.0,0.0,5.71,2.86,2.86,0.0,0.0,2.86,2.86,0.0,0.0,0.0,0.0,11.43,2.86,5.71,0.0,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,5.71,0.0,2.86,11.43,0.0,20.0,2.86,8.57,5.71,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.57,5.71,2.86,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0
9,36,54.29,20.24,4.97,77.0,9.0,22.22,75.0,50.0,13.89,11.11,8.33,0.0,0.0,0.0,2.78,2.78,5.56,11.11,8.33,5.56,5.56,2.78,13.89,2.78,0.0,0.0,5.56,8.33,8.33,5.56,2.78,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,19.44,0.0,2.78,5.56,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,2.78,5.56,2.78,8.33,8.33,0.0,8.33,0.0,2.78,5.56,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,2.78,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,41,60.92,11.14,56.3,25.77,13.67,9.76,80.49,46.34,12.2,7.32,2.44,0.0,2.44,0.0,2.44,4.88,7.32,9.76,7.32,0.0,7.32,7.32,14.63,12.2,7.32,0.0,0.0,7.32,9.76,4.88,4.88,0.0,0.0,2.44,4.88,0.0,0.0,0.0,0.0,14.63,0.0,2.44,0.0,2.44,0.0,9.76,2.44,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,12.2,0.0,7.32,4.88,4.88,2.44,0.0,17.07,0.0,9.76,2.44,2.44,4.88,2.44,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,190,58.62,14.62,70.38,55.54,31.67,18.95,81.05,44.21,13.68,7.89,6.84,0.0,1.05,0.0,0.0,5.79,4.74,9.47,6.84,3.68,5.79,2.11,13.68,11.58,8.95,1.05,1.58,5.79,2.63,2.11,0.53,0.53,0.0,0.0,1.58,0.53,0.0,0.0,0.0,13.68,2.11,3.68,1.05,3.16,1.05,4.21,1.58,1.05,0.53,0.0,0.53,0.53,0.0,0.0,0.0,3.68,0.53,0.0,2.63,0.0,0.53,3.16,7.37,1.05,12.11,1.05,6.84,4.74,1.58,1.58,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.74,4.74,4.21,0.53,0.0,0.0,0.0,3.16,0.0,0.53,1.05,0.53
12,43,1.0,1.0,64.67,69.6,10.75,2.33,97.67,76.74,32.56,13.95,13.95,0.0,0.0,0.0,0.0,18.6,6.98,2.33,13.95,9.3,9.3,4.65,27.91,0.0,0.0,0.0,0.0,0.0,2.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.91,2.33,2.33,11.63,6.98,0.0,13.95,2.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,4.65,0.0,9.3,20.93,0.0,4.65,0.0,0.0,4.65,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0
14,21,5.89,31.71,13.15,99.0,21.0,4.76,85.71,61.9,42.86,19.05,19.05,0.0,0.0,0.0,0.0,23.81,0.0,9.52,4.76,0.0,4.76,0.0,14.29,4.76,0.0,0.0,4.76,0.0,9.52,9.52,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,14.29,4.76,4.76,0.0,4.76,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,9.52,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0
15,23,24.89,4.11,27.39,25.77,11.5,8.7,95.65,65.22,34.78,17.39,17.39,0.0,0.0,0.0,0.0,17.39,0.0,17.39,8.7,4.35,0.0,0.0,21.74,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,8.7,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,8.7,13.04,0.0,4.35,0.0,4.35,0.0,8.7,0.0,8.7,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,119,57.0,5.54,79.99,72.92,17.0,11.76,82.35,52.1,13.45,6.72,6.72,0.0,0.0,0.0,0.0,6.72,10.08,10.08,11.76,5.04,5.04,3.36,18.49,7.56,7.56,2.52,1.68,3.36,2.52,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13,4.2,1.68,0.0,2.52,1.68,5.88,3.36,0.0,0.84,2.52,0.0,0.0,0.0,0.0,0.0,5.04,0.0,2.52,0.84,3.36,0.0,4.2,13.45,0.0,9.24,1.68,6.72,0.84,2.52,0.84,0.0,2.52,0.0,0.0,0.84,0.0,0.84,0.0,0.0,0.0,15.13,6.72,1.68,0.0,0.0,0.0,0.0,2.52,0.0,4.2,0.0,0.0
