source,target,nov_support,dec_support
010520,dongho,1.0,0.0
010520,erii,3.0,0.0
010520,kimnayoung,1.0,0.0
010520,matsui_jurina,3.0,0.0
010520,miyazakimiho,47.0,23.0
010520,murakawabibian,33.0,1.0
010520,murasesae,2.0,2.0
010520,naamin,6.0,65.0
010520,nakanishichiyori,2.0,2.0
010520,satominami,19.0,13.0
010520,shiromamiru,1.0,0.0
010520,shitaomiu,21.0,51.0
010520,takajuri,1.0,3.0
010520,take_miyu,39.0,11.0
19980917,astro,8.0,0.0
19980917,cmg,1.0,0.0
19980917,dmlwlsska,1.0,0.0
19980917,doakim,1.0,0.0
19980917,doitamazing7,9.0,4.0
19980917,dreamcatcher,1.0,0.0
19980917,girllaboum,11.0,12.0
19980917,godgayoung,2.0,0.0
19980917,guckkasten,20.0,0.0
19980917,jihyo,1.0,0.0
19980917,jungchaeyeon,1.0,11.0
19980917,jungsewoon,15.0,0.0
19980917,kgkg,7.0,0.0
19980917,kim,15.0,23.0
19980917,ladiescode,1.0,2.0
19980917,leedaehwi,57.0,1.0
19980917,leeyj,20.0,0.0
19980917,madewg,3.0,0.0
19980917,mamamoo,29.0,0.0
19980917,mumbok,1.0,0.0
19980917,parkwoojin,21.0,0.0
19980917,real__izo,41.0,0.0
19980917,stone,8.0,0.0
19980917,sungwoo,2.0,5.0
19980917,suzy,3.0,0.0
19980917,wannaonego,22.0,25.0
19980917,wartortle,1.0,0.0
19980917,we100,1.0,0.0
19980917,wheesung,2.0,0.0
19980917,winner,39.0,28.0
19980917,wjsnvlive,4.0,0.0
19980917,woojinyoung,1.0,1.0
6kies,ahnhyungsub,23.0,11.0
6kies,apink,3.0,0.0
6kies,astro,24.0,27.0
6kies,astromj,1.0,10.0
6kies,b1a4,6.0,2.0
6kies,bigbang,34.0,22.0
6kies,blackpink,46.0,4.0
6kies,btob,76.0,49.0
6kies,bts,77.0,50.0
6kies,buzz,18.0,17.0
6kies,chaeyaena,20.0,0.0
6kies,chungha,17.0,0.0
6kies,cmg,30.0,7.0
6kies,day6,20.0,42.0
6kies,dickpunks,1.0,30.0
6kies,dmlwlsska,15.0,0.0
6kies,doakim,12.0,11.0
6kies,doitamazing7,8.0,9.0
6kies,dongbang_new,14.0,11.0
6kies,dongho,22.0,14.0
6kies,dreamcatcher,12.0,0.0
6kies,eunyeong,3.0,0.0
6kies,fortediquattro,49.0,39.0
6kies,fromis,32.0,34.0
6kies,gf,37.0,20.0
6kies,girllaboum,18.0,15.0
6kies,girlsgeneration_new,3.0,0.0
6kies,girlsofthemonth,19.0,0.0
6kies,godgayoung,2.0,4.0
6kies,got7vlive,16.0,6.0
6kies,guckkasten,40.0,7.0
6kies,gx9,11.0,14.0
6kies,hellovenus,4.0,1.0
6kies,highlight,48.0,23.0
6kies,hotshot,8.0,1.0
6kies,idlesong,3.0,0.0
6kies,in2it,7.0,3.0
6kies,ingihyunsang,11.0,1.0
6kies,ioi,3.0,0.0
6kies,iu_tv,16.0,15.0
6kies,jbj,7.0,0.0
6kies,jdh,66.0,23.0
6kies,jeonsomi,8.0,0.0
6kies,jiwonpark,9.0,0.0
6kies,jjy,36.0,21.0
6kies,jongshin,14.0,1.0
6kies,joy,22.0,0.0
6kies,joyuri,11.0,0.0
6kies,jsh,37.0,29.0
6kies,jungchaeyeon,23.0,22.0
6kies,jungsewoon,32.0,12.0
6kies,kdani,56.0,56.0
6kies,kenta,3.0,7.0
6kies,kgkg,17.0,13.0
6kies,kim,66.0,36.0
6kies,kimchaewon,8.0,0.0
6kies,kimdonghan,2.0,0.0
6kies,kimkyungho,3.0,0.0
6kies,kimnayoung,18.0,0.0
6kies,kimsanggyun,5.0,0.0
6kies,kimsejeong,11.0,1.0
6kies,kimsohee,14.0,5.0
6kies,ksy,10.0,23.0
6kies,kwonhyunbin,5.0,0.0
6kies,kyw,12.0,0.0
6kies,ladiescode,1.0,2.0
6kies,leechaeyeon,9.0,11.0
6kies,leedaehwi,45.0,47.0
6kies,leehaein,15.0,0.0
6kies,leehi,1.0,0.0
6kies,lovelyz,114.0,38.0
6kies,madewg,7.0,5.0
6kies,mamamoo,52.0,31.0
6kies,mino0330,6.0,13.0
6kies,miraclass,2.0,0.0
6kies,miyazakimiho,16.0,0.0
6kies,mkyunghoon,39.0,41.0
6kies,mmld,10.0,10.0
6kies,mumbok,12.0,0.0
6kies,mxmymdh,20.0,14.0
6kies,nebula,44.0,0.0
6kies,nell,6.0,0.0
6kies,nflying,3.0,0.0
6kies,nojisun,12.0,10.0
6kies,nth0510,13.0,11.0
6kies,nuest,62.0,90.0
6kies,nuestminhyun,12.0,0.0
6kies,ohmygirl,31.0,11.0
6kies,onairpril,13.0,2.0
6kies,onf,8.0,3.0
6kies,paka,15.0,15.0
6kies,parkdoha,2.0,7.0
6kies,parkjeup,19.0,0.0
6kies,parkwoojin,13.0,0.0
6kies,pentagon,4.0,1.0
6kies,pjb,19.0,0.0
6kies,pledis,18.0,7.0
6kies,pushkang,8.0,1.0
6kies,real__izo,81.0,31.0
6kies,redvelvetreveluv,11.0,1.0
6kies,roykim,90.0,20.0
6kies,sakura0319,10.0,20.0
6kies,samkim,16.0,1.0
6kies,seulgi,12.0,0.0
6kies,shitaomiu,15.0,50.0
6kies,shp,5.0,3.0
6kies,sonamoo,12.0,18.0
6kies,stone,10.0,0.0
6kies,straykids,18.0,0.0
6kies,sungwoo,21.0,19.0
6kies,suzy,15.0,0.0
6kies,taeyeon_new1,11.0,0.0
6kies,take_miyu,13.0,17.0
6kies,tj3579,11.0,9.0
6kies,twice,15.0,34.0
6kies,unitb,20.0,0.0
6kies,unitg,2.0,3.0
6kies,vikon,93.0,35.0
6kies,wannaonego,340.0,160.0
6kies,we100,2.0,2.0
6kies,wendy,9.0,0.0
6kies,wheesung,10.0,0.0
6kies,winner,51.0,43.0
6kies,withtaehyun,23.0,5.0
6kies,wjsnvlive,17.0,5.0
6kies,woojinyoung,1.0,3.0
6kies,xtracam,20.0,16.0
6kies,yabukinako,8.0,1.0
6kies,yooyeonjung,7.0,0.0
6kies,youjung,1.0,0.0
6kies,yunaminju,23.0,4.0
6kies,yuseonho,29.0,0.0
6kies,zico,4.0,0.0
Jessica,bts,24.0,3.0
Jessica,doitamazing7,8.0,5.0
Jessica,gf,19.0,21.0
Jessica,godgayoung,1.0,6.0
Jessica,jungsewoon,12.0,0.0
Jessica,kim,8.0,28.0
Jessica,mamamoo,28.0,40.0
Jessica,real__izo,20.0,0.0
Jessica,wannaonego,35.0,25.0
Jessica,winner,46.0,31.0
Jessica,woojinyoung,1.0,8.0
LimChangJung,blackpink,5.0,0.0
LimChangJung,bts,79.0,23.0
LimChangJung,fromis,60.0,12.0
LimChangJung,godgayoung,2.0,0.0
LimChangJung,lovelyz,15.0,0.0
LimChangJung,mkyunghoon,24.0,0.0
LimChangJung,mmld,1.0,0.0
LimChangJung,mumbok,5.0,0.0
LimChangJung,ohmygirl,11.0,0.0
LimChangJung,real__izo,2.0,0.0
LimChangJung,wonyeong,14.0,0.0
ace5,dmlwlsska,13.0,0.0
ace5,leehaein,1.0,0.0
ace5,pentagon,2.0,0.0
ace5,shinhwa,3.0,0.0
ace5,unitb,8.0,0.0
ace5,wannaonego,48.0,0.0
ace5,winner,45.0,1.0
ahnhyungsub,6kies,103.0,18.0
ahnhyungsub,anyujin,11.0,0.0
ahnhyungsub,astro,22.0,3.0
ahnhyungsub,b1a4,4.0,0.0
ahnhyungsub,berrygood,1.0,0.0
ahnhyungsub,bigbang,63.0,46.0
ahnhyungsub,blackpink,11.0,15.0
ahnhyungsub,btob,54.0,48.0
ahnhyungsub,bts,110.0,76.0
ahnhyungsub,chaeyaena,13.0,13.0
ahnhyungsub,cmg,34.0,9.0
ahnhyungsub,cosmicgirl,7.0,0.0
ahnhyungsub,dickpunks,6.0,0.0
ahnhyungsub,dmlwlsska,11.0,9.0
ahnhyungsub,doakim,7.0,10.0
ahnhyungsub,doitamazing7,3.0,4.0
ahnhyungsub,dongbang_new,33.0,14.0
ahnhyungsub,dongho,30.0,34.0
ahnhyungsub,dreamcatcher,2.0,2.0
ahnhyungsub,eunjiwon,163.0,48.0
ahnhyungsub,eunyeong,56.0,21.0
ahnhyungsub,fortediquattro,11.0,2.0
ahnhyungsub,fromis,96.0,52.0
ahnhyungsub,gf,51.0,16.0
ahnhyungsub,girllaboum,20.0,16.0
ahnhyungsub,girlsofthemonth,27.0,5.0
ahnhyungsub,godgayoung,2.0,3.0
ahnhyungsub,goldenchild,1.0,0.0
ahnhyungsub,got7vlive,15.0,4.0
ahnhyungsub,guckkasten,40.0,10.0
ahnhyungsub,gx9,5.0,10.0
ahnhyungsub,hellovenus,24.0,13.0
ahnhyungsub,highlight,39.0,31.0
ahnhyungsub,hotshot,4.0,4.0
ahnhyungsub,infinite,71.0,10.0
ahnhyungsub,ingihyunsang,2.0,0.0
ahnhyungsub,iu_tv,28.0,17.0
ahnhyungsub,jdh,21.0,0.0
ahnhyungsub,jeonsomi,14.0,1.0
ahnhyungsub,jiwonpark,6.0,5.0
ahnhyungsub,jjy,20.0,10.0
ahnhyungsub,jongshin,5.0,4.0
ahnhyungsub,joyuri,7.0,0.0
ahnhyungsub,jsh,65.0,50.0
ahnhyungsub,jungchaeyeon,50.0,19.0
ahnhyungsub,jungsewoon,37.0,26.0
ahnhyungsub,kgkg,5.0,0.0
ahnhyungsub,kim,157.0,17.0
ahnhyungsub,kimdonghan,1.0,0.0
ahnhyungsub,kimkyungho,3.0,2.0
ahnhyungsub,kimminjoo,7.0,21.0
ahnhyungsub,kimnayoung,8.0,4.0
ahnhyungsub,kimsejeong,13.0,12.0
ahnhyungsub,kimsohee,10.0,7.0
ahnhyungsub,kimsohye,10.0,15.0
ahnhyungsub,ksy,8.0,24.0
ahnhyungsub,kwonhyunbin,12.0,0.0
ahnhyungsub,kyw,11.0,0.0
ahnhyungsub,ladiescode,6.0,5.0
ahnhyungsub,leechaeyeon,57.0,66.0
ahnhyungsub,leedaehwi,32.0,29.0
ahnhyungsub,leedonghun,22.0,0.0
ahnhyungsub,leehi,1.0,0.0
ahnhyungsub,leesian,1.0,0.0
ahnhyungsub,leeyj,58.0,25.0
ahnhyungsub,livematilda0317,3.0,1.0
ahnhyungsub,lovelyz,61.0,72.0
ahnhyungsub,madewg,8.0,5.0
ahnhyungsub,mamamoo,101.0,32.0
ahnhyungsub,mino0330,1.0,3.0
ahnhyungsub,miyazakimiho,2.0,13.0
ahnhyungsub,mkyunghoon,27.0,30.0
ahnhyungsub,mmld,27.0,17.0
ahnhyungsub,mumbok,11.0,12.0
ahnhyungsub,mxmymdh,22.0,13.0
ahnhyungsub,ncagall,8.0,0.0
ahnhyungsub,nebula,81.0,3.0
ahnhyungsub,nell,15.0,0.0
ahnhyungsub,nojisun,12.0,7.0
ahnhyungsub,nth0510,25.0,6.0
ahnhyungsub,nuest,40.0,91.0
ahnhyungsub,ohmygirl,92.0,20.0
ahnhyungsub,onairpril,10.0,6.0
ahnhyungsub,onf,7.0,6.0
ahnhyungsub,paka,25.0,16.0
ahnhyungsub,parkdoha,2.0,0.0
ahnhyungsub,parkjeup,10.0,0.0
ahnhyungsub,parkwoojin,16.0,18.0
ahnhyungsub,pentagon,4.0,1.0
ahnhyungsub,pledis,14.0,10.0
ahnhyungsub,real__izo,119.0,2.0
ahnhyungsub,redvelvetreveluv,6.0,1.0
ahnhyungsub,reproduce,13.0,0.0
ahnhyungsub,roykim,73.0,22.0
ahnhyungsub,samkim,87.0,1.0
ahnhyungsub,secretstory,35.0,27.0
ahnhyungsub,shitaomiu,1.0,56.0
ahnhyungsub,stone,8.0,10.0
ahnhyungsub,straykids,16.0,0.0
ahnhyungsub,sungwoo,19.0,16.0
ahnhyungsub,suzy,39.0,25.0
ahnhyungsub,tj3579,4.0,6.0
ahnhyungsub,unitb,17.0,12.0
ahnhyungsub,unitg,2.0,3.0
ahnhyungsub,vikon,125.0,34.0
ahnhyungsub,wannaonego,331.0,100.0
ahnhyungsub,wartortle,4.0,20.0
ahnhyungsub,wendy,5.0,0.0
ahnhyungsub,wheesung,7.0,0.0
ahnhyungsub,winner,374.0,54.0
ahnhyungsub,withtaehyun,19.0,9.0
ahnhyungsub,wjsnvlive,4.0,0.0
ahnhyungsub,woojinyoung,10.0,14.0
ahnhyungsub,xtracam,8.0,20.0
ahnhyungsub,yabukinako,12.0,12.0
ahnhyungsub,yoonjisung,17.0,0.0
ahnhyungsub,yunaminju,37.0,31.0
ahnhyungsub,yuseonho,42.0,14.0
akdong,ahnhyungsub,2.0,0.0
akdong,astro,7.0,0.0
akdong,blackpink,3.0,17.0
akdong,dmlwlsska,1.0,0.0
akdong,jungsewoon,16.0,0.0
akdong,lovelyz,43.0,79.0
akdong,nth0510,1.0,0.0
akdong,vikon,4.0,18.0
akdong,winner,40.0,22.0
akdong,woojinyoung,2.0,2.0
anyujin,6kies,1.0,0.0
anyujin,ahnhyungsub,12.0,0.0
anyujin,astro,13.0,4.0
anyujin,b1a4,1.0,0.0
anyujin,bigbang,2.0,11.0
anyujin,blackpink,12.0,0.0
anyujin,bts,1.0,80.0
anyujin,dmlwlsska,1.0,0.0
anyujin,doakim,9.0,12.0
anyujin,doitamazing7,5.0,3.0
anyujin,dreamcatcher,2.0,0.0
anyujin,eunyeong,8.0,0.0
anyujin,fortediquattro,1.0,0.0
anyujin,gf,2.0,14.0
anyujin,girllaboum,13.0,11.0
anyujin,girlsofthemonth,9.0,0.0
anyujin,godgayoung,1.0,0.0
anyujin,guckkasten,8.0,0.0
anyujin,gx9,21.0,0.0
anyujin,highlight,11.0,7.0
anyujin,hondahitomi,1.0,14.0
anyujin,in2it,2.0,0.0
anyujin,ioi,2.0,0.0
anyujin,iu_tv,8.0,8.0
anyujin,jdh,24.0,0.0
anyujin,jjy,10.0,11.0
anyujin,joy,1.0,0.0
anyujin,joyuri,25.0,11.0
anyujin,jsh,8.0,0.0
anyujin,jungchaeyeon,11.0,16.0
anyujin,jungsewoon,18.0,26.0
anyujin,kim,38.0,0.0
anyujin,kimchaewon,6.0,22.0
anyujin,kimkyungho,1.0,0.0
anyujin,kimsejeong,2.0,4.0
anyujin,kimsohee,4.0,0.0
anyujin,kimsohye,20.0,24.0
anyujin,leedaehwi,12.0,21.0
anyujin,lovelyz,27.0,0.0
anyujin,mamamoo,54.0,27.0
anyujin,mumbok,1.0,0.0
anyujin,ncagall,5.0,0.0
anyujin,nebula,19.0,0.0
anyujin,nojisun,24.0,0.0
anyujin,nth0510,1.0,0.0
anyujin,nuest,1.0,11.0
anyujin,parkwoojin,10.0,0.0
anyujin,pentagon,5.0,0.0
anyujin,pledis,12.0,13.0
anyujin,real__izo,4.0,0.0
anyujin,roykim,5.0,11.0
anyujin,sakura0319,40.0,0.0
anyujin,shp,1.0,0.0
anyujin,stone,8.0,12.0
anyujin,straykids,9.0,0.0
anyujin,suzy,1.0,0.0
anyujin,twice,18.0,12.0
anyujin,unitb,7.0,0.0
anyujin,vikon,5.0,13.0
anyujin,wannaonego,245.0,0.0
anyujin,wartortle,2.0,0.0
anyujin,we100,1.0,0.0
anyujin,wendy,5.0,0.0
anyujin,winner,82.0,39.0
anyujin,woojinyoung,1.0,4.0
anyujin,yabukinako,1.0,30.0
anyujin,yunaminju,5.0,0.0
aoa,astro,1.0,0.0
aoa,fromis,1.0,0.0
aoa,ingihyunsang,1.0,0.0
aoa,jungsewoon,17.0,7.0
aoa,lovelyz,60.0,0.0
aoa,mumbok,3.0,0.0
aoa,mxmymdh,22.0,0.0
aoa,wheesung,1.0,0.0
apink,6kies,49.0,0.0
apink,ahnhyungsub,14.0,0.0
apink,astro,3.0,0.0
apink,blackpink,20.0,2.0
apink,boa,10.0,0.0
apink,bts,67.0,51.0
apink,cosmicgirl,12.0,0.0
apink,day6,2.0,0.0
apink,dmlwlsska,11.0,0.0
apink,doakim,10.0,6.0
apink,doitamazing7,6.0,5.0
apink,dreamcatcher,3.0,0.0
apink,eunjiwon,43.0,0.0
apink,fromis,2.0,3.0
apink,gf,17.0,1.0
apink,girlsgeneration_new,2.0,0.0
apink,godgayoung,2.0,0.0
apink,got7vlive,8.0,2.0
apink,gx9,12.0,6.0
apink,highlight,65.0,0.0
apink,hondahitomi,7.0,11.0
apink,in2it,4.0,0.0
apink,infinite,19.0,0.0
apink,ingihyunsang,3.0,0.0
apink,jdh,15.0,0.0
apink,jeonsomi,14.0,0.0
apink,jjy,11.0,0.0
apink,joyuri,1.0,0.0
apink,jsh,15.0,0.0
apink,jungchaeyeon,2.0,6.0
apink,jungsewoon,40.0,0.0
apink,kaeun,4.0,0.0
apink,kenta,5.0,0.0
apink,kgkg,7.0,0.0
apink,kim,20.0,12.0
apink,kimkyungho,1.0,0.0
apink,kimnayoung,6.0,0.0
apink,kimsohee,16.0,5.0
apink,ladiescode,4.0,2.0
apink,leehaein,15.0,0.0
apink,lovelyz,18.0,34.0
apink,madewg,7.0,0.0
apink,mamamoo,60.0,62.0
apink,mino0330,6.0,12.0
apink,miraclass,2.0,0.0
apink,mkyunghoon,1.0,0.0
apink,mumbok,14.0,2.0
apink,mxmymdh,24.0,7.0
apink,nebula,81.0,0.0
apink,nth0510,3.0,0.0
apink,onairpril,8.0,17.0
apink,parkdoha,1.0,0.0
apink,pentagon,2.0,0.0
apink,pledis,5.0,0.0
