fandom_id,fandom_name,nov_post,dec_post,nov_support,dec_support,type
000115sh,KIM SU-HYUN,68,159,0,10,0
010520,MOE GOTO / AKB48,1998,1760,179,175,0
19980917,KIM DONG-HYUN / MXM,718,423,349,194,1
2PM,2PM,0,1,0,1,1
6kies,SECHSKIES (disbanded),24502,16726,2981,1815,1
Jessica,JESSICA,299,689,202,508,0
LimChangJung,LIM CHANG JUNG,773,622,218,36,1
ace5,A.C.E,133,14,120,12,1
acejun,JUN / A.C.E,1,0,0,0,1
ahnhyungsub,HYEONGSEOP / Hyeongseop X Euiwoong,12205,10968,3885,2039,1
akdong,AKMU,327,328,119,152,0
anyujin,AN YU-JIN / IZ*ONE,3024,4864,925,705,0
aoa,AOA,519,677,106,169,0
apink,Apink,42526,44973,1600,610,0
april,APRIL,864,238,15,6,0
astro,ASTRO,4358,3444,3592,2660,1
astromj,MJ / ASTRO,89,998,33,494,1
b1a4,B1A4,1835,1556,1534,1422,1
baejinyoung,BAE JIN-YOUNG / Wanna One,3673,3216,887,485,1
baekhyun,BAEK-HYUN / EXO,1896,1335,1075,616,1
bap,B.A.P,107,135,33,40,1
ben,BEN,94,103,76,31,0
berrygood,Berry Good,1151,3493,789,3021,0
bigbang,BIGBANG,5364,2864,5140,2671,1
bigjaejun,LEE JEA-JOON,0,0,0,0,1
binhjleehjh,RU-BIN LEE,0,13,0,0,1
blackpink,BLACKPINK,47674,46074,8215,2463,0
blockb,Block B,133,30,19,0,1
boa,BOA,5527,9324,2980,999,0
boysingroove14,B.I.G,1,2,0,0,1
boysrepublic5,Boys Republic (disbanded),0,0,0,0,1
btob,BTOB,19656,11695,10918,4821,1
bts,BTS,61144,50699,8185,5821,1
buzz,Buzz,9402,16777,2266,2441,1
ch_freemonth,CHUNGHA / I.O.I (disbanded),3780,1141,3695,500,0
chaeyaena,CHOI YE-NA  / IZ*ONE,5928,4706,1076,715,0
chan,CHAN / A.C.E,9,5,1,2,1
chukjungha,Jungha,0,0,0,0,1
chungha,CHUNGHA / I.O.I (disbanded),6946,7217,3400,2219,0
clc,CLC,310,64,196,8,0
cmg,REN / NU'EST W,3523,1644,2708,935,1
cosmicgirl,WJSN (Cosmic Girls),1894,345,642,14,0
daewon,DAEWON / UNB,0,1,0,0,1
dahyeon,DAHYUN / TWICE,2595,3116,136,104,0
day6,DAY6,5591,8098,3855,5409,1
dickpunks,DICKPUNKS,2679,3596,1001,1173,1
dmlwlsska,EUIJIN / UNB,1590,1148,1457,1013,1
